No,Provinsi,Tahun,Kabupaten/Kota,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Cluster,Cluster_Label
46,Jawa Barat,2022,KABUPATEN SUMEDANG,Orang,1,2,0,0,0,0,0,Kerentanan Relatif Rendah
47,Jawa Barat,2022,KABUPATEN INDRAMAYU,Orang,7,7,3,0,0,1,0,Kerentanan Relatif Rendah
48,Jawa Barat,2022,KABUPATEN SUBANG,Orang,2,1,0,0,0,0,0,Kerentanan Relatif Rendah
49,Jawa Barat,2022,KABUPATEN PURWAKARTA,Orang,8,11,3,0,0,2,0,Kerentanan Relatif Rendah
50,Jawa Barat,2022,KABUPATEN KARAWANG,Orang,21,8,10,0,1,3,0,Kerentanan Relatif Rendah
51,Jawa Barat,2022,KABUPATEN BEKASI,Orang,46,58,12,0,2,10,1,Kerentanan Tinggi
52,Jawa Barat,2022,KABUPATEN BANDUNG BARAT,Orang,14,12,4,0,0,3,0,Kerentanan Relatif Rendah
53,Jawa Barat,2022,KABUPATEN PANGANDARAN,Orang,4,1,1,0,0,0,0,Kerentanan Relatif Rendah
54,Jawa Barat,2022,KOTA BOGOR,Orang,23,32,4,0,0,8,0,Kerentanan Relatif Rendah
55,Jawa Barat,2022,KOTA SUKABUMI,Orang,4,3,3,2,0,0,0,Kerentanan Relatif Rendah
56,Jawa Barat,2022,KOTA BANDUNG,Orang,96,166,49,3,0,54,2,Kerentanan Sangat Tinggi
57,Jawa Barat,2022,KOTA CIREBON,Orang,0,1,0,0,0,0,0,Kerentanan Relatif Rendah
58,Jawa Barat,2022,KOTA BEKASI,Orang,2,1,1,0,0,0,0,Kerentanan Relatif Rendah
59,Jawa Barat,2022,KOTA DEPOK,Orang,34,51,14,0,0,8,1,Kerentanan Tinggi
60,Jawa Barat,2022,KOTA CIMAHI,Orang,5,9,1,1,0,9,0,Kerentanan Relatif Rendah
61,Jawa Barat,2022,KOTA TASIKMALAYA,Orang,0,0,0,0,0,0,0,Kerentanan Relatif Rendah
62,Jawa Barat,2022,KOTA BANJAR,Orang,0,0,0,0,0,0,0,Kerentanan Relatif Rendah
63,Jawa Timur,2022,KABUPATEN PACITAN,Orang,0,0,0,0,0,0,0,Kerentanan Relatif Rendah
64,Jawa Timur,2022,KABUPATEN PONOROGO,Orang,5,7,2,0,0,5,0,Kerentanan Relatif Rendah
65,Jawa Timur,2022,KABUPATEN TRENGGALEK,Orang,3,3,4,0,0,4,0,Kerentanan Relatif Rendah
66,Jawa Timur,2022,KABUPATEN TULUNGAGUNG,Orang,17,7,9,1,1,2,0,Kerentanan Relatif Rendah
67,Jawa Timur,2022,KABUPATEN BLITAR,Orang,7,15,3,0,0,2,0,Kerentanan Relatif Rendah
68,Jawa Timur,2022,KABUPATEN KEDIRI,Orang,33,1,2,0,0,0,0,Kerentanan Relatif Rendah
69,Jawa Timur,2022,KABUPATEN MALANG,Orang,8,20,13,0,0,4,0,Kerentanan Relatif Rendah
70,Jawa Timur,2022,KABUPATEN LUMAJANG,Orang,9,6,3,0,0,1,0,Kerentanan Relatif Rendah
71,Jawa Timur,2022,KABUPATEN JEMBER,Orang,17,83,37,0,0,8,1,Kerentanan Tinggi
72,Jawa Timur,2022,KABUPATEN BANYUWANGI,Orang,14,7,7,0,0,4,0,Kerentanan Relatif Rendah
73,Jawa Timur,2022,KABUPATEN BONDOWOSO,Orang,13,0,9,1,0,11,0,Kerentanan Relatif Rendah
74,Jawa Timur,2022,KABUPATEN SITUBONDO,Orang,28,12,9,0,0,3,0,Kerentanan Relatif Rendah
75,Jawa Timur,2022,KABUPATEN PROBOLINGGO,Orang,37,37,3,0,0,0,0,Kerentanan Relatif Rendah
76,Jawa Timur,2022,KABUPATEN PASURUAN,Orang,9,5,7,0,0,8,0,Kerentanan Relatif Rendah
77,Jawa Timur,2022,KABUPATEN SIDOARJO,Orang,34,70,11,0,0,32,1,Kerentanan Tinggi
78,Jawa Timur,2022,KABUPATEN MOJOKERTO,Orang,6,10,2,0,1,2,0,Kerentanan Relatif Rendah
79,Jawa Timur,2022,KABUPATEN JOMBANG,Orang,8,6,8,0,0,3,0,Kerentanan Relatif Rendah
80,Jawa Timur,2022,KABUPATEN NGANJUK,Orang,2,10,2,0,0,1,0,Kerentanan Relatif Rendah
81,Jawa Timur,2022,KABUPATEN MADIUN,Orang,0,0,4,0,0,0,0,Kerentanan Relatif Rendah
82,Jawa Timur,2022,KABUPATEN MAGETAN,Orang,6,9,6,0,0,6,0,Kerentanan Relatif Rendah
83,Jawa Timur,2022,KABUPATEN NGAWI,Orang,1,5,5,0,0,0,0,Kerentanan Relatif Rendah
84,Jawa Timur,2022,KABUPATEN BOJONEGORO,Orang,1,3,0,0,0,2,0,Kerentanan Relatif Rendah
85,Jawa Timur,2022,KABUPATEN TUBAN,Orang,29,20,4,0,0,4,0,Kerentanan Relatif Rendah
86,Jawa Timur,2022,KABUPATEN LAMONGAN,Orang,30,11,5,0,0,5,0,Kerentanan Relatif Rendah
87,Jawa Timur,2022,KABUPATEN GRESIK,Orang,17,23,4,2,0,2,0,Kerentanan Relatif Rendah
88,Jawa Timur,2022,KABUPATEN BANGKALAN,Orang,13,9,3,0,0,1,0,Kerentanan Relatif Rendah
89,Jawa Timur,2022,KABUPATEN SAMPANG,Orang,6,0,2,0,0,0,0,Kerentanan Relatif Rendah
90,Jawa Timur,2022,KABUPATEN PAMEKASAN,Orang,24,1,0,0,0,8,0,Kerentanan Relatif Rendah
91,Jawa Timur,2022,KABUPATEN SUMENEP,Orang,18,18,2,0,0,8,0,Kerentanan Relatif Rendah
92,Jawa Timur,2022,KOTA KEDIRI,Orang,0,1,2,0,0,0,0,Kerentanan Relatif Rendah
93,Jawa Timur,2022,KOTA BLITAR,Orang,6,12,0,0,0,3,0,Kerentanan Relatif Rendah
94,Jawa Timur,2022,KOTA MALANG,Orang,9,11,5,1,0,1,0,Kerentanan Relatif Rendah
95,Jawa Timur,2022,KOTA PROBOLINGGO,Orang,11,7,0,0,0,3,0,Kerentanan Relatif Rendah
96,Jawa Timur,2022,KOTA PASURUAN,Orang,11,11,0,0,0,0,0,Kerentanan Relatif Rendah
97,Jawa Timur,2022,KOTA MOJOKERTO,Orang,9,2,2,0,1,0,0,Kerentanan Relatif Rendah
